date,site,lat,long,sechi_depth_m,tp_ug_l,chlo_a_ug_l ,doc_mg_l
6/21/2022,0813b,45.815529,-74.762817,6.2,,,
7/19/2022,0813b,45.815529,-74.762817,6.1,3.7,1.2,4.4
8/16/2022,0813b,45.815529,-74.762817,6.7,3.8,1.2,6.2
6/21/2021,0813b,45.815529,-74.762817,5.9,5,1.7,2.7
7/19/2021,0813b,45.815529,-74.762817,6.4,3.2,1.2,3.3
8/17/2021,0813b,45.815529,-74.762817,6.8,3.3,1.2,3
7/28/2020,0813b,45.815529,-74.762817,7.8,,,
8/3/2020,0813b,45.815529,-74.762817,6.4,3.9,1.7,3.8
8/25/2020,0813b,45.815529,-74.762817,6.5,3.6,1.6,3.3
9/28/2020,0813b,45.815529,-74.762817,7.2,4.9,1.2,3.5
6/25/2019,0813b,45.815529,-74.762817,,5.4,4,
7/23/2019,0813b,45.815529,-74.762817,6.1,4.8,1.2,3.5
8/19/2019,0813b,45.815529,-74.762817,7.7,3.5,1.2,3.2
6/19/2018,0813b,45.815529,-74.762817,6.1,,,
6/25/2018,0813b,45.815529,-74.762817,5.5,4.5,1.9,3
7/17/2018,0813b,45.815529,-74.762817,6.2,4.5,1.2,3.3
8/20/2018,0813b,45.815529,-74.762817,7.1,4.2,1.3,2.7
7/31/2017,0813b,45.815529,-74.762817,,3.4,1.2,3
8/29/2017,0813b,45.815529,-74.762817,,2.4,1.7,3.7
6/21/2016,0813b,45.815529,-74.762817,4.5,3.9,1.6,6.4
7/19/2016,0813b,45.815529,-74.762817,,,1.6,3.1
8/23/2016,0813b,45.815529,-74.762817,6.3,,1.5,3.2
6/21/2022,0813a,45.815709,-74.78273,6.6,2.5,1.4,9.5
7/19/2022,0813a,45.815709,-74.78273,6.6,3.3,1.1,3.2
8/16/2022,0813a,45.815709,-74.78273,6.6,3.8,1.2,3.2
6/21/2021,0813a,45.815709,-74.78273,6.6,3.3,1.6,2.4
7/19/2021,0813a,45.815709,-74.78273,,2.6,1.2,3.2
7/21/2021,0813a,45.815709,-74.78273,6.9,,,
8/17/2021,0813a,45.815709,-74.78273,7.5,3.4,0.93,2.9
7/28/2020,0813a,45.815709,-74.78273,6.9,,,
8/3/2020,0813a,45.815709,-74.78273,7.2,3.2,1.4,3.2
8/25/2020,0813a,45.815709,-74.78273,6.2,2.8,1.5,4.1
9/28/2020,0813a,45.815709,-74.78273,6.9,3.8,1,3.7
6/25/2019,0813a,45.815709,-74.78273,,5.1,3.8,3.2
7/23/2019,0813a,45.815709,-74.78273,6.5,4.2,1.1,3.2
8/19/2019,0813a,45.815709,-74.78273,8.2,3.4,1.4,4.1
6/19/2018,0813a,45.815709,-74.78273,6.4,,,
6/25/2018,0813a,45.815709,-74.78273,6.9,4.7,1.7,2.9
7/17/2018,0813a,45.815709,-74.78273,6.8,3.4,1.2,3.1
8/20/2018,0813a,45.815709,-74.78273,7.5,3.7,1.3,2.7
7/31/2017,0813a,45.815709,-74.78273,6.6,2.9,1,3.1
8/29/2017,0813a,45.815709,-74.78273,7.2,3.5,,3.3
6/21/2016,0813a,45.815709,-74.78273,4.5,3.1,1.5,3.2
7/19/2016,0813a,45.815709,-74.78273,,,1.1,3
8/23/2016,0813a,45.815709,-74.78273,6.6,,1.5,3.2
